aX,aY,aZ,label
-4.1,8.07,-16.36,running
-2.34,9.69,-0.33,running
0.0,0.01,-0.01,resting
-2.38,-0.54,0.65,walking
-0.7,12.93,-4.91,running
-3.3,-0.89,5.27,walking
1.85,-1.37,-0.73,walking
0.01,0.0,0.0,resting
-3.87,3.48,5.06,walking
-5.04,-2.76,-2.6,walking
-2.96,14.55,-5.8,running
2.78,-19.13,16.39,running
0.01,-0.01,-0.02,resting
6.85,0.25,-1.95,walking
-2.91,-0.69,1.22,walking
2.17,5.08,-0.36,walking
-0.2,4.35,-2.07,walking
3.9,-11.6,7.56,running
0.01,-0.01,-0.09,resting
-1.01,-30.11,-0.23,running
0.0,0.01,-0.07,resting
-7.11,-14.33,10.84,running
0.02,-0.01,-0.04,resting
-0.01,-0.01,-0.04,resting
1.64,2.88,0.49,walking
-8.42,-2.8,-16.65,running
-0.01,0.0,-0.05,resting
-5.81,-0.2,4.77,walking
-4.83,7.19,-0.09,running
1.16,5.16,-3.85,walking
-2.65,-1.97,5.92,walking
-8.4,10.52,-2.12,running
-0.01,0.0,-0.08,resting
0.01,-0.01,-0.04,resting
-8.01,14.91,-3.99,running
-1.8,0.99,0.45,walking
-4.16,9.3,-1.67,running
0.02,-0.02,-0.04,resting
1.85,-0.35,-1.08,walking
6.95,10.88,-7.5,running
-0.01,-0.02,-0.03,resting
-4.34,-2.68,1.69,walking
1.88,-0.36,1.15,walking
5.35,-12.66,-1.59,running
-0.01,0.01,-0.03,resting
8.53,-15.93,-5.42,running
12.94,9.87,-18.61,running
4.65,-7.38,6.27,running
-0.01,-0.02,-0.02,resting
-4.9,6.75,0.34,running
-3.25,5.0,2.57,walking
0.0,0.03,-0.04,resting
-2.94,-1.51,-0.09,walking
1.64,0.06,-0.41,walking
1.75,-10.17,4.36,running
0.51,-18.2,10.46,running
3.83,1.41,-7.61,walking
6.37,-0.52,-1.95,walking
-2.8,-0.42,-4.25,walking
0.0,-0.02,-0.06,resting
-6.23,16.36,-3.13,running
-0.01,0.0,-0.06,resting
-5.21,12.68,-1.42,running
-0.88,3.12,-2.29,walking
0.0,-0.01,-0.03,resting
-0.84,12.36,-4.22,running
-0.01,-0.01,-0.07,resting
-0.01,0.01,-0.12,resting
2.39,0.65,-1.72,walking
0.02,0.03,-0.03,resting
5.88,10.58,-5.89,running
-5.06,3.88,1.89,running
7.07,-1.49,4.04,running
1.54,1.99,-2.08,walking
-0.19,-1.28,2.11,walking
4.4,1.87,3.07,walking
0.34,-2.9,-1.99,walking
0.0,0.01,0.02,resting
-2.76,4.2,1.9,running
3.94,-13.32,2.55,running
1.35,-0.72,1.36,walking
-6.67,-14.01,11.04,running
0.03,-0.07,0.09,resting
2.47,-2.21,-3.57,walking
-0.85,4.63,2.6,walking
0.02,0.0,-0.07,resting
-0.01,0.03,-0.04,resting
-0.7,1.04,1.26,walking
-8.91,12.69,0.23,running
-3.23,-0.17,4.28,walking
-6.35,12.9,-4.13,running
-2.65,-0.15,3.7,walking
0.01,-0.02,-0.08,resting
0.97,-4.44,-1.19,walking
-0.58,-6.57,5.36,running
1.54,-4.26,-2.03,walking
1.23,5.3,-2.59,walking
